GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
esiea Maven Webapp,utils,Configuration,129,0,6,0,27,0,8,0,5,0
esiea Maven Webapp,utils,StringUtils,33,0,6,0,11,0,6,0,3,0
esiea Maven Webapp,esiea.dao,VoitureDAO,668,7,48,0,135,3,35,2,11,2
esiea Maven Webapp,esiea.dao,ReponseVoiture,0,32,0,2,0,11,0,7,0,6
esiea Maven Webapp,esiea.metier,Voiture.Carburant,0,72,0,4,0,14,0,7,0,5
esiea Maven Webapp,esiea.metier,Voiture,5,215,0,34,3,47,0,37,0,20
esiea Maven Webapp,esiea.api,VoitureAPI,164,147,10,18,33,41,9,13,4,4
